state,date,sex,ethnicity,annual_birth,annual_death
Johor,2000-01-01,both,overall,67183,12144
Johor,2001-01-01,both,overall,61432,12730
Johor,2002-01-01,both,overall,59699,13459
Johor,2003-01-01,both,overall,58230,13671
Johor,2004-01-01,both,overall,57339,13842
Johor,2005-01-01,both,overall,56524,14152
Johor,2006-01-01,both,overall,56737,14546
Johor,2007-01-01,both,overall,57780,15165
Johor,2008-01-01,both,overall,57838,15926
Johor,2009-01-01,both,overall,57849,15971
Johor,2010-01-01,both,overall,56064,16060
Johor,2011-01-01,both,overall,58167,16479
Johor,2012-01-01,both,overall,60444,17201
Johor,2013-01-01,both,overall,57402,17696
Johor,2014-01-01,both,overall,60443,17904
Johor,2015-01-01,both,overall,60543,18853
Johor,2016-01-01,both,overall,59561,19924
Johor,2017-01-01,both,overall,61085,20662
Johor,2018-01-01,both,overall,61084,21117
Johor,2019-01-01,both,overall,60261,21799
Johor,2020-01-01,both,overall,56908,20646
Johor,2021-01-01,both,overall,49990,26951
Johor,2022-01-01,both,overall,48254,25305
Kedah,2000-01-01,both,overall,41014,8982
Kedah,2001-01-01,both,overall,38073,9197
Kedah,2002-01-01,both,overall,36604,9925
Kedah,2003-01-01,both,overall,35407,10311
Kedah,2004-01-01,both,overall,35059,10095
Kedah,2005-01-01,both,overall,34254,10280
Kedah,2006-01-01,both,overall,33864,10698
Kedah,2007-01-01,both,overall,33963,10847
Kedah,2008-01-01,both,overall,35415,11071
Kedah,2009-01-01,both,overall,36019,11618
Kedah,2010-01-01,both,overall,35128,11674
Kedah,2011-01-01,both,overall,35937,11869
Kedah,2012-01-01,both,overall,36390,12268
Kedah,2013-01-01,both,overall,35032,12516
Kedah,2014-01-01,both,overall,36505,13017
Kedah,2015-01-01,both,overall,36784,13674
Kedah,2016-01-01,both,overall,35967,13771
Kedah,2017-01-01,both,overall,36693,14332
Kedah,2018-01-01,both,overall,35643,14552
Kedah,2019-01-01,both,overall,34511,14302
Kedah,2020-01-01,both,overall,33828,13671
Kedah,2021-01-01,both,overall,33040,18457
Kedah,2022-01-01,both,overall,30796,17628
Kelantan,2000-01-01,both,overall,40404,7620
Kelantan,2001-01-01,both,overall,38186,7797
Kelantan,2002-01-01,both,overall,37297,8330
Kelantan,2003-01-01,both,overall,35686,8614
Kelantan,2004-01-01,both,overall,35113,8547
Kelantan,2005-01-01,both,overall,34088,8834
Kelantan,2006-01-01,both,overall,33659,8940
Kelantan,2007-01-01,both,overall,33800,9186
Kelantan,2008-01-01,both,overall,34842,9694
Kelantan,2009-01-01,both,overall,35715,10114
Kelantan,2010-01-01,both,overall,36009,9798
Kelantan,2011-01-01,both,overall,37679,10024
Kelantan,2012-01-01,both,overall,37025,9890
Kelantan,2013-01-01,both,overall,36413,10042
Kelantan,2014-01-01,both,overall,39279,10588
Kelantan,2015-01-01,both,overall,39108,10789
Kelantan,2016-01-01,both,overall,38455,10809
Kelantan,2017-01-01,both,overall,39122,11203
Kelantan,2018-01-01,both,overall,38360,11316
Kelantan,2019-01-01,both,overall,36858,11410
Kelantan,2020-01-01,both,overall,36275,10928
Kelantan,2021-01-01,both,overall,34764,13926
Kelantan,2022-01-01,both,overall,33808,13445
Melaka,2000-01-01,both,overall,15304,3725
Melaka,2001-01-01,both,overall,14317,3799
Melaka,2002-01-01,both,overall,13810,3966
Melaka,2003-01-01,both,overall,13898,3964
Melaka,2004-01-01,both,overall,13548,4070
Melaka,2005-01-01,both,overall,13341,4140
Melaka,2006-01-01,both,overall,12946,4146
Melaka,2007-01-01,both,overall,13444,4145
Melaka,2008-01-01,both,overall,13619,4381
Melaka,2009-01-01,both,overall,13456,4472
Melaka,2010-01-01,both,overall,13010,4481
Melaka,2011-01-01,both,overall,13976,4606
Melaka,2012-01-01,both,overall,14278,4575
Melaka,2013-01-01,both,overall,13692,4747
Melaka,2014-01-01,both,overall,14568,4728
Melaka,2015-01-01,both,overall,14554,4959
Melaka,2016-01-01,both,overall,14402,5186
Melaka,2017-01-01,both,overall,14389,5523
Melaka,2018-01-01,both,overall,14388,5407
Melaka,2019-01-01,both,overall,14136,5547
Melaka,2020-01-01,both,overall,13855,5444
Melaka,2021-01-01,both,overall,13192,7083
Melaka,2022-01-01,both,overall,13105,6630
Negeri Sembilan,2000-01-01,both,overall,19243,4540
Negeri Sembilan,2001-01-01,both,overall,17670,4724
Negeri Sembilan,2002-01-01,both,overall,17647,5051
Negeri Sembilan,2003-01-01,both,overall,17272,5038
Negeri Sembilan,2004-01-01,both,overall,17085,5067
Negeri Sembilan,2005-01-01,both,overall,16838,5163
Negeri Sembilan,2006-01-01,both,overall,16622,5204
Negeri Sembilan,2007-01-01,both,overall,17195,5181
Negeri Sembilan,2008-01-01,both,overall,17351,5740
Negeri Sembilan,2009-01-01,both,overall,17360,5832
Negeri Sembilan,2010-01-01,both,overall,16939,5814
Negeri Sembilan,2011-01-01,both,overall,17670,5885
Negeri Sembilan,2012-01-01,both,overall,17903,5895
Negeri Sembilan,2013-01-01,both,overall,17509,6213
Negeri Sembilan,2014-01-01,both,overall,18676,6410
Negeri Sembilan,2015-01-01,both,overall,18423,6611
Negeri Sembilan,2016-01-01,both,overall,18036,6810
Negeri Sembilan,2017-01-01,both,overall,18078,7111
Negeri Sembilan,2018-01-01,both,overall,18177,7298
Negeri Sembilan,2019-01-01,both,overall,17464,7168
Negeri Sembilan,2020-01-01,both,overall,17120,7011
Negeri Sembilan,2021-01-01,both,overall,16777,9165
Negeri Sembilan,2022-01-01,both,overall,15991,8636
