state,date,sex,ethnicity,annual_birth,annual_death
Johor,2022-01-01,both,overall,48254,25305
Kedah,2022-01-01,both,overall,30796,17628
Kelantan,2022-01-01,both,overall,33808,13445
Melaka,2022-01-01,both,overall,13105,6630
Negeri Sembilan,2022-01-01,both,overall,15991,8636
Pahang,2022-01-01,both,overall,23568,11022
Perak,2022-01-01,both,overall,29543,22341
Perlis,2022-01-01,both,overall,3746,2422
Pulau Pinang,2022-01-01,both,overall,17731,12920
Sabah,2022-01-01,both,overall,43617,17395
Sarawak,2022-01-01,both,overall,30937,16627
Selangor,2022-01-01,both,overall,83658,32861
Terengganu,2022-01-01,both,overall,25304,8686
Kuala Lumpur,2022-01-01,both,overall,19853,9962
Labuan,2022-01-01,both,overall,1374,392
Putrajaya,2022-01-01,both,overall,1839,253
